Counts,Pfail,NormHist
0,100,100
1,0,15.894
2,0,7.28477
3,0,5.96026
4,0,4.96689
5,0,5.29801
6,0,6.62252
7,0,3.97351
8,0,6.95364
9,0,6.29139
10,0,13.245
11,0,16.5563
12,0,18.8742
13,0,28.8079
14,0,38.4106
15,0,44.0397
16,3,55.6291
17,35,56.2914
18,74,57.2848
19,99,52.9801
20,100,54.6358
21,100,45.6954
22,100,44.0397
23,100,39.0728
24,100,34.4371
25,100,14.5695
26,100,17.5497
27,100,13.245
28,100,6.29139
29,100,6.29139
30,100,2.64901
31,100,1.65563
32,100,0.331126
33,100,0.331126
34,100,1.3245
35,100,0
36,100,0.331126
37,100,0
38,100,0
39,100,0
40,100,0
41,100,0
42,100,0
43,100,0
44,100,0
45,100,0
46,100,0
47,100,0
48,100,0
49,100,0
