Param:P_369Depol,Param:nexpts,Param:isRandom,Param:nRDraws,Param:isManual,Param:priority,Param:Use_Laser_Adjust,Param:Gate_Time,Param:Use_sideband_cool,Param:Gate_power,Param:Gate_Freq,Param:LineTrig,Param:callback,Param:gate_repetitions,Param:delay,Param:xmin,Param:xmax,Param:npts,Param:nscans,DataY_0,SErrorY_0_0,SErrorY_0_1
-27,100,0,0,0,-1,1,,0,,0,0,1,128,,-27,0,10,10,16.54500008,0.318980604,0.318980604
-24,100,0,0,0,-1,1,,0,,0,0,1,128,,-27,0,10,10,16.14999962,0.306934088,0.306934088
-21,100,0,0,0,-1,1,,0,,0,0,1,128,,-27,0,10,10,16.47500038,0.296201885,0.296201885
-18,100,0,0,0,-1,1,,0,,0,0,1,128,,-27,0,10,10,17.28000069,0.320109904,0.320109904
-15,100,0,0,0,-1,1,,0,,0,0,1,128,,-27,0,10,10,18.12999916,0.302776933,0.302776933
-12,100,0,0,0,-1,1,,0,,0,0,1,128,,-27,0,10,10,17.47500038,0.338184446,0.338184446
-9,100,0,0,0,-1,1,,0,,0,0,1,128,,-27,0,10,10,18.85000038,0.477234244,0.477234244
-6,100,0,0,0,-1,1,,0,,0,0,1,128,,-27,0,10,10,18.45000076,0.447298288,0.447298288
-3,100,0,0,0,-1,1,,0,,0,0,1,128,,-27,0,10,10,17.61000061,0.399215132,0.399215132
0,100,0,0,0,-1,1,,0,,0,0,1,128,,-27,0,10,10,16.19000053,0.494146556,0.494146556
