Param:Callback,Param:logT_prep,Param:Gate_Position,Param:Use_laser_adjust,Param:Use_sideband_cool,Param:YAGPID,DataY_0,SErrorY_0_0,SErrorY_0_1
1,-1.2,0,1,0,0,0.871385038,0.01559478,0.014588773
1,-1.15,0,1,0,0,0.860884309,0.016087651,0.015110195
1,-1.1,0,1,0,0,0.864960492,0.015900075,0.014911473
1,-1.05,0,1,0,0,0.857663035,0.016232729,0.015264034
1,-1,0,1,0,0,0.828408837,0.017433882,0.016544819
1,-0.95,0,1,0,0,0.839773893,0.016990781,0.016070724
1,-0.9,0,1,0,0,0.819339573,0.017767966,0.01690352
1,-0.85,0,1,0,0,0.790653944,0.018722177,0.017935574
1,-0.8,0,1,0,0,0.767350435,0.019395113,0.018671572
1,-0.75,0,1,0,0,0.777385414,0.019115806,0.018365085
1,-0.7,0,1,0,0,0.749092817,0.019865334,0.019191325
1,-0.65,0,1,0,0,0.679701865,0.021256983,0.020770788
1,-0.6,0,1,0,0,0.702673256,0.020860672,0.020312309
1,-0.55,0,1,0,0,0.629611969,0.021922588,0.021571994
1,-0.5,0,1,0,0,0.644979119,0.021746099,0.02135396
1,-0.45,0,1,0,0,0.529546857,0.022516191,0.022436321
1,-0.4,0,1,0,0,0.558374584,0.022440791,0.022282898
1,-0.35,0,1,0,0,0.513856232,0.022525668,0.022488177
1,-0.3,0,1,0,0,0.493664056,0.022505164,0.0225223
1,-0.25,0,1,0,0,0.399897099,0.021925122,0.022195905
1,-0.2,0,1,0,0,0.396476418,0.021888494,0.022168547
1,-0.15,0,1,0,0,0.356522739,0.021376312,0.021764427
1,-0.1,0,1,0,0,0.34005931,0.021118343,0.021551043
1,-0.05,0,1,0,0,0.278634667,0.019893587,0.020492524
1,2.22E-16,0,1,0,0,0.198656023,0.017568201,0.018383861
1,0.05,0,1,0,0,0.188264042,0.017191753,0.018035606
1,0.1,0,1,0,0,0.163205907,0.016197786,0.017109677
1,0.15,0,1,0,0,0.120488346,0.014162704,0.015190974
1,0.2,0,1,0,0,0.100814238,0.013038315,0.014120415
1,0.25,0,1,0,0,0.100055657,0.012992024,0.014076188
1,0.3,0,1,0,0,0.058652055,0.010014925,0.011213947
1,0.35,0,1,0,0,0.061919868,0.010290097,0.011479899
1,0.4,0,1,0,0,0.058489181,0.010000974,0.011200458
1,0.45,0,1,0,0,0.043870535,0.008642931,0.009884305
1,0.5,0,1,0,0,0.038756378,0.008107822,0.009364288
